code,date,prev,after,段_前,段_后,勾选,方向,翻面
002098,2017-01-14,9715.725,11514.93,"8,636.20万元至10,795.25万元","10,795.25 万元–12,234.61 万元",扭亏为盈,好→更好,0.0
002098,2019-01-31,-54423.5,-37500.0,"-69,347万元至-39,500万元","-53,500 万元 ～ -21,500 万元",,好→更好,0.0
002098,2020-01-23,7000.0,6000.0,"5,000 万元至9,000 万元","4,000 万元 — 8,000 万元",亏损,坏→更坏,0.0
002102,2018-01-17,,31000.0,,"28,000.00 万元～34,000.00 万元",同向上升,,
002102,2019-01-28,,-255000.0,,"230,000 万元～280,000 万元",亏损,,
002104,2017-01-21,24110.725,16692.04,"18,546.71万元至29,674.74万元","11,128.03 万元–22,256.05 万元",同向上升,坏→更坏,0.0
002109,2017-01-25,-10500.0,2500.0,"-11,500 万元至-9,500 万元",2000 万元–3000 万元,,好→更好,1.0
002109,2018-01-26,14700.0,20700.0,"14,000 万元至15,400 万元","20,000 万元–21,400 万元",,好→更好,0.0
002110,2017-01-24,,91648.0,,"83,433 万元–99,863 万元",,,
002110,2018-01-20,335047.5,396557.0,"311,845 万元至358,250 万元","373,394 万元～419,720 万元",扭亏为盈,好→更好,0.0
002111,2018-01-31,,12219.125,,"10,112.38 万元–14,325.87 万元",同向上升,,
002111,2019-01-31,,22085.66,,"20,386.76 万元–23,784.56 万元",扭亏为盈,,
002113,2018-02-02,,,,,同向上升,,
002113,2019-01-30,8130.0,,"8,000 万元—8,260 万元",,亏损,,
002113,2023-04-01,-14050.0,,"11,800 万元至 16,300 万元",,,,
002114,2017-01-26,,6950.0,,"6,700.00 万元—7,200.00 万元",扭亏为盈,,
002114,2019-01-31,,-25750.0,,25000 万元–26500 万元,亏损,,
002116,2016-12-07,13680.0,11400.0,"10,260万元—17,100万元","7,980 万元至14,820 万元",同向上升,坏→更坏,0.0
002118,2021-01-29,,,"-35,000 万元至-30,000 万元","-35,000万元至-30,000万元",,,
002120,2017-01-25,8469.04,119000.0,"7,721.77 万元至9,216.31 万元","116,000.00 万元–122,000.00 万元",,好→更好,0.0
002121,2019-01-29,,-100000.0,,"90,000 万元~110,000 万元",亏损,,
002122,2019-01-31,-35450.0,-56250.0,"-42,500 万元至-28,400 万元","45,000 万元–67,500 万元",亏损,坏→更坏,0.0
002123,2019-01-31,,10000.0,,"8,000万元至12,000万元",同向上升,,
002123,2020-01-23,,-17500.0,,"14,000万元至21,000万元",亏损,,
002123,2022-04-01,-2725.0,,"2,225万元至3,225万元",,,,
002124,2019-01-31,19660.574999999997,,"13,107.05万元至26,214.1万元",,亏损,,
002124,2023-04-24,,,,,,,
002125,2019-01-31,10250.0,8050.0,"9,500 万元至 11,000 万元","7,100 万元–9,000 万元",同向上升,坏→更坏,0.0
002128,2017-01-26,,84080.5064,,"80,076.6728 万元–88,084.3400 万元",扭亏为盈,,
002128,2019-01-30,,198271.45500000002,,"184,234.54 万元–212,308.37 万元",扭亏为盈,,
002130,2019-01-31,17635.825,5878.6050000000005,"13,436.82万元至21,834.83万元","1,679.60万元–10,077.61 万元",同向上升,坏→更坏,0.0
002131,2018-01-31,64691.285,47815.295,"56,253.29万元至73,129.28万元","39,377.30 万元–56,253.29 万元",同向上升,坏→更坏,0.0
002131,2019-01-31,25270.97,-142600.0,"21,059.14万元至29,482.80万元","-117,600 万元 ～ -167,600 万元",亏损,坏→更坏,1.0
002131,2026-04-24,22000.0,,"19,000.00 万元至25,000.00 万元",,,,
002132,2019-01-31,1414.78,-12000.0,"0 万元至2,829.56 万","9,000 万元—15,000 万元",亏损,坏→更坏,1.0
002134,2017-01-25,-5500.0,-8500.0,5000万元–6000万元,7000 万元–10000 万元,亏损,坏→更坏,0.0
002134,2019-01-31,-2000.0,-6000.0,1500万元–2500万元,5500 万元–6500 万元,亏损,坏→更坏,0.0
002134,2021-01-30,,,1900 万元-2300 万元,1900 万元–2300 万元,同向上升,,
002135,2017-01-24,3458.355,4841.695,"3,112.52 万元至 3,804.19 万元","4,495.86 万元–5,187.53 万元",扭亏为盈,好→更好,0.0
002136,2017-01-25,3750.0,,"3,500 万元至4,000 万元",,扭亏为盈,,
002136,2019-01-30,8000.0,4750.0,"7,000万元至9,000万元","4,000万元～5,500万元",同向上升,坏→更坏,0.0
002137,2019-01-30,9604.235,,"7,909.37 万元至11,299.10 万元",,亏损,,
002137,2020-01-23,14000.0,10450.0,"12,000 万元至16,000 万","8,400 万元–12,500 万元",亏损,坏→更坏,0.0
002139,2017-01-23,12497.525000000001,14513.295,"11,288.12 万元—13,706.93 万元","13,707.00 万元—15,319.59 万元",扭亏为盈,好→更好,0.0
002140,2017-01-10,14325.869999999999,9849.039999999999,"10,744.40 万元至17,907.34 万元","7,162.94 万元–12,535.14 万元",同向上升,坏→更坏,0.0
002140,2018-01-31,11043.025000000001,-5500.0,"9,407.02 万元至12,679.03 万元","4,000 万元–7,000 万元",亏损,坏→更坏,1.0
002141,2018-01-31,290.0,1060.855,80 万元至500 万元,850 万元–1271.71 万元,扭亏为盈,好→更好,0.0
