code,year,label,score,stage_date,stage
000718,2022,0.0,0.04162918408299917,2022-04-28,① 一季报披露
000719,2022,0.0,0.015072057182202699,2022-04-27,① 一季报披露
000720,2022,1.0,0.2230620378505436,2022-04-28,① 一季报披露
000721,2022,1.0,0.3710540719537404,2022-04-20,① 一季报披露
000722,2022,0.0,0.0559552881532798,2022-04-27,① 一季报披露
000723,2022,0.0,0.010502787676985715,2022-04-28,① 一季报披露
000725,2022,0.0,0.016444587440451273,2022-04-28,① 一季报披露
000726,2022,0.0,0.0243544020956993,2022-04-29,① 一季报披露
000727,2022,0.0,0.10925631985257662,2022-04-30,① 一季报披露
000728,2022,0.0,0.1601950274978767,2022-04-26,① 一季报披露
000729,2022,0.0,0.12405396682618046,2022-04-28,① 一季报披露
000731,2022,0.0,0.015385541715582549,2022-04-26,① 一季报披露
000733,2022,0.0,0.016350703339776645,2022-04-29,① 一季报披露
000735,2022,0.0,0.29494763255850787,2022-04-30,① 一季报披露
000736,2022,0.0,0.11401670918658544,2022-04-29,① 一季报披露
000737,2022,0.0,0.011954921849979185,2022-04-28,① 一季报披露
000738,2022,0.0,0.013226302678677896,2022-04-27,① 一季报披露
000739,2022,0.0,0.011745778814263176,2022-04-27,① 一季报披露
000750,2022,0.0,0.09244511928144032,2022-04-28,① 一季报披露
000751,2022,0.0,0.0704400884948231,2022-04-27,① 一季报披露
000752,2022,1.0,0.5740347502936289,2022-04-29,① 一季报披露
000753,2022,0.0,0.07799918257786204,2022-04-23,① 一季报披露
000755,2022,0.0,0.013283637882204795,2022-04-28,① 一季报披露
000756,2022,0.0,0.011727805493403158,2022-04-20,① 一季报披露
000757,2022,1.0,0.11000325120233674,2022-04-28,① 一季报披露
000758,2022,0.0,0.04342623749751288,2022-04-30,① 一季报披露
000759,2022,1.0,0.13224463136592693,2022-04-29,① 一季报披露
000761,2022,1.0,0.014421780130974164,2022-04-27,① 一季报披露
000762,2022,0.0,0.02593140468428441,2022-04-29,① 一季报披露
000766,2022,0.0,0.20004620779675558,2022-04-28,① 一季报披露
000767,2022,1.0,0.21463384312767786,2022-04-29,① 一季报披露
000768,2022,0.0,0.029359301113861383,2022-04-29,① 一季报披露
000776,2022,0.0,0.015573770852033765,2022-04-30,① 一季报披露
000777,2022,0.0,0.10573932787217824,2022-04-27,① 一季报披露
000778,2022,0.0,0.014610352429741591,2022-04-27,① 一季报披露
000779,2022,0.0,0.012275102197417174,2022-04-27,① 一季报披露
000782,2022,1.0,0.07300523604355255,2022-04-27,① 一季报披露
000783,2022,0.0,0.0929365189881179,2022-04-30,① 一季报披露
000785,2022,0.0,0.01464439492619786,2022-04-29,① 一季报披露
000786,2022,0.0,0.01381385624812672,2022-04-30,① 一季报披露
000788,2022,0.0,0.28664291734865815,2022-04-29,① 一季报披露
000789,2022,0.0,0.009334838964555415,2022-04-28,① 一季报披露
000790,2022,0.0,0.06443438713077251,2022-04-30,① 一季报披露
000791,2022,0.0,0.18207678654431078,2022-04-27,① 一季报披露
000792,2022,0.0,0.01725959655478898,2022-04-26,① 一季报披露
000793,2022,1.0,0.5713342742426561,2022-04-29,① 一季报披露
000795,2022,0.0,0.055813840932822364,2022-04-26,① 一季报披露
000796,2022,1.0,0.4705491511180315,2022-04-30,① 一季报披露
000797,2022,0.0,0.16894753405259466,2022-04-27,① 一季报披露
000798,2022,0.0,0.25883348391553235,2022-04-28,① 一季报披露
000799,2022,0.0,0.015821588332618312,2022-04-29,① 一季报披露
000800,2022,0.0,0.03899370987096757,2022-04-30,① 一季报披露
000801,2022,0.0,0.02094094275471471,2022-04-20,① 一季报披露
000802,2022,1.0,0.7495752276840035,2022-04-27,① 一季报披露
000803,2022,0.0,0.02658938013744587,2022-04-20,① 一季报披露
000807,2022,0.0,0.014870678455717459,2022-04-23,① 一季报披露
000809,2022,1.0,0.5127301199329104,2022-04-28,① 一季报披露
000810,2022,0.0,0.011138283080903555,2022-04-21,① 一季报披露
000811,2022,0.0,0.03109878575485914,2022-04-30,① 一季报披露
000812,2022,0.0,0.06502975179986416,2022-04-28,① 一季报披露
000813,2022,1.0,0.22611540046481743,2022-04-30,① 一季报披露
000815,2022,1.0,0.2319258927034694,2022-04-28,① 一季报披露
000816,2022,1.0,0.2185045286856186,2022-04-29,① 一季报披露
000818,2022,0.0,0.014096000317568072,2022-04-28,① 一季报披露
000819,2022,0.0,0.03679362073221826,2022-04-26,① 一季报披露
000820,2022,1.0,0.5083682180049179,2022-04-30,① 一季报披露
000821,2022,0.0,0.09223558538577444,2022-04-30,① 一季报披露
000822,2022,0.0,0.00893868493364891,2022-04-27,① 一季报披露
000823,2022,0.0,0.012820172238813954,2022-04-27,① 一季报披露
000825,2022,0.0,0.015308223382880813,2022-04-23,① 一季报披露
000826,2022,1.0,0.5444085202062348,2022-04-30,① 一季报披露
000828,2022,0.0,0.009992188613035195,2022-04-28,① 一季报披露
000829,2022,0.0,0.1835726772635019,2022-04-29,① 一季报披露
000830,2022,0.0,0.011380518546609836,2022-04-30,① 一季报披露
000831,2022,0.0,0.014846887833006861,2022-04-29,① 一季报披露
000833,2022,0.0,0.035345983859822766,2022-04-20,① 一季报披露
000837,2022,0.0,0.04080317917227339,2022-04-29,① 一季报披露
000838,2022,1.0,0.03685245447440974,2022-04-12,① 一季报披露
000839,2022,1.0,0.5274151953104363,2022-04-30,① 一季报披露
000848,2022,0.0,0.012656590936064504,2022-04-28,① 一季报披露
000850,2022,1.0,0.28133677404989865,2022-04-27,① 一季报披露
000852,2022,0.0,0.0730328683157203,2022-04-29,① 一季报披露
000856,2022,0.0,0.21097042321336273,2022-04-21,① 一季报披露
000858,2022,0.0,0.012780273983098561,2022-04-29,① 一季报披露
000859,2022,0.0,0.012295462251471994,2022-04-27,① 一季报披露
000860,2022,1.0,0.20802530802147995,2022-04-28,① 一季报披露
000862,2022,0.0,0.0664897154469043,2022-04-26,① 一季报披露
000863,2022,0.0,0.2629619062418078,2022-04-30,① 一季报披露
000868,2022,1.0,0.4831242907477484,2022-04-26,① 一季报披露
000869,2022,0.0,0.039346941625950975,2022-04-30,① 一季报披露
000875,2022,0.0,0.052924008046738906,2022-04-28,① 一季报披露
000876,2022,1.0,0.23507984657509862,2022-04-30,① 一季报披露
000877,2022,0.0,0.011355154732273776,2022-04-26,① 一季报披露
000878,2022,0.0,0.036139195809391275,2022-04-28,① 一季报披露
000880,2022,0.0,0.026573671888623827,2022-04-30,① 一季报披露
000881,2022,0.0,0.0582434763124662,2022-04-30,① 一季报披露
000882,2022,1.0,0.148123778735385,2022-04-29,① 一季报披露
000883,2022,0.0,0.0313191458872521,2022-04-28,① 一季报披露
000885,2022,0.0,0.01191085766653106,2022-04-29,① 一季报披露
000886,2022,0.0,0.13291024345007385,2022-04-28,① 一季报披露
000887,2022,0.0,0.010386213528400289,2022-04-30,① 一季报披露
000888,2022,1.0,0.07194417468879737,2022-04-29,① 一季报披露
000889,2022,1.0,0.4381986496850944,2022-04-30,① 一季报披露
000890,2022,1.0,0.48786088156885055,2022-04-30,① 一季报披露
