date,code,from,to,kind,title,公告日,在名单,score,首次确认
2025-01-16 00:00:00,001225,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-16 00:00:00,False,0.008023,True
2025-01-16 00:00:00,001332,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-16 00:00:00,False,0.011568,True
2025-01-16 00:00:00,001338,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-16 00:00:00,False,0.022549,True
2025-01-16 00:00:00,002080,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-16 00:00:00,False,0.00842,True
2025-01-16 00:00:00,002082,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-16 00:00:00,False,0.281261,True
2025-01-16 00:00:00,002110,预测中,已明说会亏,预告,2024年度业绩预告（增亏）,2025-01-16 00:00:00,False,0.310399,True
2025-01-16 00:00:00,002151,预测中,已明说会亏,预告,2024年度业绩预告（首亏）,2025-01-16 00:00:00,False,0.621308,True
2025-01-16 00:00:00,002165,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-16 00:00:00,False,0.102735,True
2025-01-16 00:00:00,002212,预测中,已明说不会亏,预告,2024年度业绩预告（扭亏）,2025-01-16 00:00:00,False,0.53157,True
2025-01-16 00:00:00,002238,预测中,已明说会亏,预告,2024年度业绩预告（首亏）,2025-01-16 00:00:00,False,0.055838,True
2025-01-16 00:00:00,002286,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-16 00:00:00,False,0.175583,True
2025-01-16 00:00:00,002474,预测中,已明说会亏,预告,2024年度业绩预告（减亏）,2025-01-16 00:00:00,False,0.592485,True
2025-01-16 00:00:00,002719,预测中,已明说会亏,预告,2024年度业绩预告（增亏）,2025-01-16 00:00:00,True,0.912691,True
2025-01-16 00:00:00,002767,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-16 00:00:00,False,0.08721,True
2025-01-16 00:00:00,003027,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-16 00:00:00,False,0.310023,True
2025-01-16 00:00:00,300035,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-16 00:00:00,False,0.192641,True
2025-01-16 00:00:00,300073,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-16 00:00:00,False,0.050275,True
2025-01-16 00:00:00,300515,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-16 00:00:00,False,0.01256,True
2025-01-16 00:00:00,300607,预测中,已明说会亏,预告,2024年度业绩预告（首亏）,2025-01-16 00:00:00,False,0.125693,True
2025-01-16 00:00:00,300911,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-16 00:00:00,False,0.016903,True
2025-01-16 00:00:00,300926,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-16 00:00:00,False,0.013272,True
2025-01-16 00:00:00,300966,预测中,已明说会亏,预告,2024年度业绩预告（首亏）,2025-01-16 00:00:00,False,0.285258,True
2025-01-16 00:00:00,301060,预测中,已明说会亏,预告,2024年度业绩预告（续亏）,2025-01-16 00:00:00,True,0.722173,True
2025-01-16 00:00:00,301080,预测中,已明说不会亏,预告,2024年度业绩预告（略减）,2025-01-16 00:00:00,False,0.037816,True
2025-01-16 00:00:00,301085,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-16 00:00:00,False,0.068417,True
2025-01-16 00:00:00,301201,预测中,已明说会亏,预告,2024年度业绩预告（首亏）,2025-01-16 00:00:00,False,0.096034,True
2025-01-16 00:00:00,600076,预测中,已明说会亏,预告,2024年度业绩预告（减亏）,2025-01-16 00:00:00,False,0.513287,True
2025-01-16 00:00:00,600303,预测中,已明说会亏,预告,2024年度业绩预告（减亏）,2025-01-16 00:00:00,True,0.830611,True
2025-01-16 00:00:00,600333,预测中,已明说会亏,预告,2024年度业绩预告（减亏）,2025-01-16 00:00:00,False,0.618204,True
2025-01-16 00:00:00,600358,预测中,已明说会亏,预告,2024年度业绩预告（增亏）,2025-01-16 00:00:00,True,0.693567,True
2025-01-16 00:00:00,600493,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-16 00:00:00,False,0.122382,True
2025-01-16 00:00:00,600581,预测中,已明说会亏,预告,2024年度业绩预告（增亏）,2025-01-16 00:00:00,True,0.659004,True
2025-01-16 00:00:00,600620,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-16 00:00:00,False,0.351084,True
2025-01-16 00:00:00,600744,预测中,已明说会亏,预告,2024年度业绩预告（减亏）,2025-01-16 00:00:00,False,0.237674,True
2025-01-16 00:00:00,600756,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-16 00:00:00,False,0.275012,True
2025-01-16 00:00:00,600768,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-16 00:00:00,False,0.121026,True
2025-01-16 00:00:00,600798,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-16 00:00:00,False,0.097984,True
2025-01-16 00:00:00,600802,预测中,已明说会亏,预告,2024年度业绩预告（减亏）,2025-01-16 00:00:00,False,0.478492,True
2025-01-16 00:00:00,600889,预测中,已明说会亏,预告,2024年度业绩预告（增亏）,2025-01-16 00:00:00,False,0.638104,True
2025-01-16 00:00:00,601086,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-16 00:00:00,False,0.023551,True
2025-01-16 00:00:00,603012,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-16 00:00:00,False,0.025434,True
2025-01-16 00:00:00,603196,预测中,已明说会亏,预告,2024年度业绩预告（首亏）,2025-01-16 00:00:00,True,0.770405,True
2025-01-16 00:00:00,603206,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-16 00:00:00,False,0.076612,True
2025-01-16 00:00:00,603356,预测中,已明说会亏,预告,2024年度业绩预告（续亏）,2025-01-16 00:00:00,False,0.540919,True
2025-01-16 00:00:00,603392,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-16 00:00:00,False,0.114664,True
2025-01-16 00:00:00,603421,预测中,已明说会亏,预告,2024年度业绩预告（首亏）,2025-01-16 00:00:00,False,0.175971,True
2025-01-16 00:00:00,603722,预测中,已明说会亏,预告,2024年度业绩预告（首亏）,2025-01-16 00:00:00,False,0.119236,True
2025-01-16 00:00:00,605336,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-16 00:00:00,False,0.011298,True
2025-01-16 00:00:00,688018,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-16 00:00:00,False,0.008304,True
2025-01-16 00:00:00,688038,预测中,已明说会亏,预告,2024年度业绩预告（减亏）,2025-01-16 00:00:00,True,0.698932,True
2025-01-16 00:00:00,688087,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-16 00:00:00,False,0.025672,True
2025-01-16 00:00:00,688088,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-16 00:00:00,False,0.074218,True
2025-01-16 00:00:00,688172,预测中,已明说会亏,预告,2024年度业绩预告（首亏）,2025-01-16 00:00:00,False,0.125001,True
2025-01-16 00:00:00,688196,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-16 00:00:00,False,0.166266,True
2025-01-16 00:00:00,688278,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-16 00:00:00,False,0.016299,True
2025-01-16 00:00:00,688368,预测中,已明说会亏,预告,2024年度业绩预告（减亏）,2025-01-16 00:00:00,False,0.341909,True
2025-01-16 00:00:00,688426,预测中,已明说会亏,预告,2024年度业绩预告（增亏）,2025-01-16 00:00:00,True,0.896413,True
2025-01-16 00:00:00,688469,预测中,已明说会亏,预告,2024年度业绩预告（减亏）,2025-01-16 00:00:00,False,0.294989,True
